,8012,8022
2016-03-01,4971,3596
2016-03-02,4547,3963
2016-03-03,4619,3755
2016-03-04,4447,3886
2016-03-05,1276,1319
2016-03-06,520,510
2016-03-07,4350,4394
2016-03-08,4631,4358
2016-03-09,4590,4327
2016-03-10,4296,4071
2016-03-11,4097,3634
2016-03-12,1307,1470
2016-03-13,409,453
2016-03-14,4355,4270
2016-03-15,4697,4483
2016-03-16,4759,4543
2016-03-17,4764,4601
2016-03-18,4497,4162
2016-03-19,1631,1661
2016-03-20,892,856
2016-03-21,3472,3148
2016-03-22,3554,3268
2016-03-23,3433,3146
2016-03-24,3022,2675
2016-03-25,470,395
2016-03-26,529,562
2016-03-27,392,307
2016-03-28,4449,3833
2016-03-29,4529,4297
2016-03-30,4787,4011
2016-03-31,4138,3149
2016-04-01,4736,3641
2016-04-02,1528,1578
2016-04-03,576,487
2016-04-04,4699,3759
2016-04-05,4911,4019
2016-04-06,4733,3803
2016-04-07,4706,3896
2016-04-08,4643,3790
2016-04-09,1549,1499
2016-04-10,500,472
2016-04-11,4444,3987
2016-04-12,4615,4059
2016-04-13,4550,4001
2016-04-14,4602,4060
2016-04-15,4906,4169
2016-04-16,2088,2237
2016-04-17,497,450
2016-04-18,4568,4015
2016-04-19,4642,4272
2016-04-20,4767,3993
2016-04-21,600,594
2016-04-22,1056,969
2016-04-23,619,782
2016-04-24,398,385
2016-04-25,4428,3828
2016-04-26,4249,3990
2016-04-27,4369,3988
2016-04-28,4514,3877
2016-04-29,4528,3809
2016-04-30,1627,1773
2016-05-01,723,764
2016-05-02,4855,4230
2016-05-03,4921,4387
2016-05-04,4887,4432
2016-05-05,4280,3602
2016-05-06,4858,3902
2016-05-07,1031,1513
2016-05-08,374,387
2016-05-09,4647,4343
2016-05-10,4982,4455
2016-05-11,4852,4244
2016-05-12,4441,3728
2016-05-13,4441,3454
2016-05-14,1366,1612
2016-05-15,819,675
2016-05-16,4403,3784
2016-05-17,4848,4000
2016-05-18,4463,3910
2016-05-19,4537,3835
2016-05-20,4406,3562
2016-05-21,1486,1479
2016-05-22,622,571
2016-05-23,4401,3685
2016-05-24,4354,3709
2016-05-25,4381,3563
2016-05-26,493,661
2016-05-27,1095,840
2016-05-28,728,783
2016-05-29,408,432
2016-05-30,3951,3484
2016-05-31,4241,3560
2016-06-01,4098,3518
2016-06-02,3994,3714
2016-06-03,3791,3260
2016-06-04,1548,1459
2016-06-05,515,521
2016-06-06,3942,3377
2016-06-07,3848,3376
2016-06-08,4106,3566
2016-06-09,2870,2431
2016-06-10,3884,3243
2016-06-11,1182,1279
2016-06-12,490,463
2016-06-13,3891,3417
2016-06-14,4043,3375
2016-06-15,4037,3372
2016-06-16,4299,3444
2016-06-17,4499,3590
2016-06-18,1656,1880
2016-06-19,624,521
2016-06-20,4089,3427
2016-06-21,4105,3418
2016-06-22,4090,3449
2016-06-23,4070,3435
2016-06-24,4116,3740
2016-06-25,1433,1501
2016-06-26,585,522
2016-06-27,3921,3275
2016-06-28,4015,3357
2016-06-29,4029,3340
2016-06-30,3990,3112
2016-07-01,3618,3059
2016-07-02,1381,1279
2016-07-03,664,545
2016-07-04,3340,2849
2016-07-05,3365,2955
2016-07-06,3244,2686
2016-07-07,3202,2716
2016-07-08,3089,2464
2016-07-09,620,653
2016-07-10,390,422
2016-07-11,2986,2710
2016-07-12,2834,2841
2016-07-13,2946,2646
2016-07-14,2894,2593
2016-07-15,2764,2336
2016-07-16,751,955
2016-07-17,632,542
2016-07-18,2885,2547
2016-07-19,3105,2732
2016-07-20,3034,2619
2016-07-21,3168,2583
